seed,group,field,radius,method,available,guaranteed_receive,second_received,posterior_contains_truth,posterior_radius_m,posterior_diameter_m,posterior_area_m2,clear_ready,second_action_s,predicted_radius_m,predicted_J_s,selection_s,evaluated_candidates,completed,total_virtual_s,measures,clear_attempts,error
413034,short_range,negative,1250.0,on_bearing,True,True,True,True,354.8148833728949,709.6297667457898,3098.451455437171,False,155.0,375.17799330938004,476.6245941820225,0.010819837999861193,1,True,325.610229,3,1,
413034,short_range,negative,1250.0,fixed_flank,True,True,True,True,20.36585936085509,40.731718721710166,34.429656143330064,False,179.928557,69.188676041767,393.5845767488846,0.010983924999891315,1,True,374.120169,3,1,
413034,short_range,negative,1250.0,current,True,True,True,True,20.50729010106027,41.014580202120506,33.2486853502165,False,161.534814,103.51261297769797,375.3960219585154,1.2106857920000493,129,True,336.255931,3,1,
413034,short_range,negative,1250.0,shape,True,True,True,True,20.375861279802734,40.75172255960541,32.59360196293694,False,161.397912,107.81774365513313,375.7230237053048,0.28816284700019423,31,True,335.91816,3,1,
413035,center,smooth,1250.0,on_bearing,True,True,True,True,372.6294252152273,745.2588504304545,7026.43346542256,False,155.0,375.1545997756366,476.60821870833524,0.010538102999817056,1,True,286.158881,3,1,
413035,center,smooth,1250.0,fixed_flank,True,True,True,True,36.729464674240965,73.45892934848192,1097.112392604088,False,179.928557,69.19929706890801,394.18806919464697,0.010678224000002956,1,True,320.158537,3,1,
413035,center,smooth,1250.0,current,True,True,True,True,44.788460437548274,89.57692087509646,1088.6956541327963,False,163.974217,93.82338403623956,375.4040435448244,1.0769276820001323,129,True,280.385272,3,1,
413035,center,smooth,1250.0,shape,True,True,True,True,49.24513562124751,98.49027124249491,1094.42655445451,False,162.043986,107.76962246331793,376.9616905578532,0.2611057009999058,31,True,269.741384,3,1,
413036,edge,smooth,1250.0,on_bearing,True,True,True,True,280.34443458392326,560.6865967539834,5636.31024435928,False,155.0,372.5005719952657,474.75039926214436,0.00900567200005753,1,True,295.241011,4,1,
413036,edge,smooth,1250.0,fixed_flank,True,True,True,True,47.86017382248677,95.72034764497354,1572.2175180495663,False,179.928557,49.63604706642311,383.78744828083586,0.008477627000047505,1,True,336.207682,3,1,
413036,edge,smooth,1250.0,current,True,True,True,True,75.67132416344111,151.34264832688217,2572.5775381645494,False,143.864623,84.02850122058896,330.4381088432767,1.0699888259998716,129,True,292.787829,3,1,
413036,edge,smooth,1250.0,shape,True,True,True,True,84.58919209181494,169.17838418362987,2806.7597887868683,False,142.33739,94.70372705624432,331.0347993135149,0.2989220489998843,31,True,286.8807,3,1,
413037,rotated,smooth,1250.0,on_bearing,True,True,True,True,372.6240473404685,745.2480946809369,3740.196437137056,False,155.0,375.1599809612575,476.6119855383233,0.010180934000118214,1,True,289.215585,3,1,
413037,rotated,smooth,1250.0,fixed_flank,True,True,True,True,28.501507608568676,57.00301521713735,789.976884544302,False,179.928557,69.1933429172527,393.94620846188957,0.009695803999875352,1,True,307.723427,3,1,
413037,rotated,smooth,1250.0,current,True,True,True,True,37.513131579341724,75.02626315868322,818.2333533901389,False,163.656144,96.77714838178335,374.9734079931484,1.2504644159998861,129,True,267.664479,3,1,
413037,rotated,smooth,1250.0,shape,True,True,True,True,35.17546192405837,70.35092384811662,671.4992132901237,False,161.459144,108.03303247000615,375.94912570262966,0.3277386800000386,31,True,253.928576,3,1,
413038,wrap,smooth,1250.0,on_bearing,True,True,True,True,245.0673366684991,490.1346733369982,1862.6707433852162,False,155.0,375.14471732824563,476.6013009952017,0.012009542999976475,1,True,248.123754,3,1,
413038,wrap,smooth,1250.0,fixed_flank,True,True,True,True,24.12602953266318,48.25205906532636,645.6159183460195,False,179.928557,69.20484560725542,394.21476629162,0.0101778819998799,1,True,300.231727,3,1,
413038,wrap,smooth,1250.0,current,True,True,True,True,26.834128273048126,53.66825654609617,507.79645368698016,False,163.649274,97.48079617998101,375.0655184301798,1.273754105999842,129,True,252.634074,3,1,
413038,wrap,smooth,1250.0,shape,True,True,True,True,25.89678270180463,51.79356540360926,433.1678769140624,False,161.534628,108.24973137565198,376.1958664331896,0.2961781559999963,31,True,241.461676,3,1,
413039,short_range,smooth,1250.0,on_bearing,True,True,True,True,370.0010740422839,740.0021480845678,4955.513720324119,False,155.0,375.1511645014781,476.6058140164713,0.010594821999802662,1,True,324.349996,3,1,
413039,short_range,smooth,1250.0,fixed_flank,True,True,True,True,27.746009036246942,55.492018072493885,137.65707964477275,False,179.928557,69.21224286520582,394.07254649939955,0.011321003999910317,1,True,366.282511,3,1,
413039,short_range,smooth,1250.0,current,True,True,True,True,35.211752710601154,70.42350542120231,143.6442934976808,False,164.973353,90.58437395300555,376.00433002227976,1.3002118480001172,129,True,335.501727,3,1,
