index,seed,N,baseline_last_clear_s,c_last_clear_s,delta_c_minus_baseline_s
1775,1713001775,10,11587.033677,11587.033677,0.0
1776,1713001776,12,9877.107478,9984.243355,107.13587700000062
1777,1713001777,12,9457.549563,9516.536152,58.986589000000095
1778,1713001778,16,2471.182927,2577.164239,105.98131200000034
1779,1713001779,11,13201.301641,13201.301641,0.0
1780,1713001780,10,6764.055003,9627.387963,2863.332959999999
1781,1713001781,16,9000.261342,9000.261342,0.0
1782,1713001782,15,9575.651621,5373.232296,-4202.419325000001
1783,1713001783,14,7930.276767,7899.132622,-31.144145000000208
1784,1713001784,14,11321.413908,10656.188015,-665.2258930000007
1785,1713001785,12,12792.971623,12792.971623,0.0
1786,1713001786,11,2946.004554,2946.004554,0.0
1787,1713001787,16,8676.723471,8676.723471,0.0
1788,1713001788,11,10791.494171,10932.856909,141.3627379999998
1789,1713001789,15,8859.981439,8859.981439,0.0
1790,1713001790,12,3353.050587,8585.536854,5232.486267
1791,1713001791,11,10472.384181,10760.879133,288.4949520000009
1792,1713001792,14,8553.980515,6921.634776,-1632.3457389999994
1793,1713001793,14,7478.406911,7431.221052,-47.185859000000164
1794,1713001794,12,1821.900614,1878.417098,56.51648399999999
1795,1713001795,12,9836.846185,9836.846185,0.0
1796,1713001796,10,7713.100949,6835.96032,-877.1406289999995
1797,1713001797,12,12847.155935,12006.351056,-840.8048790000012
1798,1713001798,13,2135.853511,1889.527777,-246.32573399999978
1799,1713001799,14,10855.4375,10855.4375,0.0
1800,1713001800,11,11539.615957,11289.849116,-249.76684100000057
1801,1713001801,14,6176.860082,6176.860082,0.0
1802,1713001802,12,2447.008508,2652.273956,205.2654480000001
1803,1713001803,11,9920.274774,9886.97689,-33.29788399999961
1804,1713001804,13,7367.758868,8294.308329,926.5494609999996
1805,1713001805,14,9708.251328,9708.316149,0.06482099999993807
1806,1713001806,14,10723.340152,10366.599612,-356.7405400000007
1807,1713001807,12,9139.495095,9139.495095,0.0
1808,1713001808,10,9278.736464,9201.954944,-76.78152000000046
1809,1713001809,11,11946.196742,11880.753807,-65.44293500000094
1810,1713001810,12,2041.28064,2651.832651,610.5520110000002
1811,1713001811,16,9237.907655,9113.271155,-124.63650000000052
1812,1713001812,11,12009.476176,11599.500875,-409.9753010000004
1813,1713001813,10,10080.112083,10054.342107,-25.769975999999588
1814,1713001814,11,7504.545823,2846.388207,-4658.157616
1815,1713001815,11,11596.917544,11591.978461,-4.9390829999993
1816,1713001816,13,8104.294141,8104.294141,0.0
1817,1713001817,14,8008.626767,8810.693269,802.0665019999997
1818,1713001818,14,8806.925791,8794.702793,-12.22299799999928
1819,1713001819,11,9375.01628,9375.01628,0.0
1820,1713001820,16,6939.024101,6494.990653,-444.03344800000013
1821,1713001821,15,10913.65224,10841.747467,-71.9047730000002
1822,1713001822,15,4141.018148,3941.924917,-199.0932310000003
1823,1713001823,15,9753.729427,9753.729427,0.0
1824,1713001824,13,10986.522694,12005.160438,1018.6377440000015
1825,1713001825,11,8347.359308,8347.359308,0.0
1826,1713001826,13,8328.18045,5573.925445,-2754.255005
1827,1713001827,16,16381.292812,16337.720524,-43.57228799999939
1828,1713001828,14,10796.307566,9131.260202,-1665.047364
1829,1713001829,16,5923.955265,5923.955265,0.0
1830,1713001830,13,9753.48631,9538.503504,-214.98280599999998
1831,1713001831,10,8246.587879,8246.587879,0.0
1832,1713001832,14,7746.113322,8691.234258,945.1209360000003
1833,1713001833,12,9003.60262,8960.083411,-43.519209000000046
1834,1713001834,10,2265.224874,1521.434328,-743.790546
1835,1713001835,16,10240.922451,11276.697382,1035.774931
1836,1713001836,15,11435.025253,11348.93887,-86.08638299999984
1837,1713001837,12,9068.629842,9068.629842,0.0
1838,1713001838,13,1625.851509,1518.099659,-107.7518500000001
1839,1713001839,11,11492.698288,11492.698288,0.0
1840,1713001840,15,8192.303167,8148.552354,-43.75081299999965
1841,1713001841,14,8562.940282,8524.186611,-38.753671000000395
1842,1713001842,16,3712.418871,3785.43502,73.01614900000004
1843,1713001843,16,8473.549369,8473.549369,0.0
1844,1713001844,14,12162.17964,10679.864063,-1482.3155769999994
1845,1713001845,10,9633.422587,9633.422587,0.0
1846,1713001846,13,2183.853294,2357.664254,173.8109599999998
1847,1713001847,13,10589.323677,10724.667908,135.34423099999913
1848,1713001848,13,10652.391665,10345.296502,-307.09516299999996
1849,1713001849,11,9717.038528,9717.567361,0.5288330000003043
1850,1713001850,10,9824.961815,9896.57905,71.61723499999971
1851,1713001851,11,13209.653875,13209.653875,0.0
1852,1713001852,11,5895.718997,5895.718997,0.0
1853,1713001853,11,9552.690409,9546.586346,-6.104063000000679
1854,1713001854,13,2313.306426,9051.412195,6738.105769000001
1855,1713001855,11,8580.793526,8580.793526,0.0
1856,1713001856,10,8990.3592,9649.901806,659.5426059999991
1857,1713001857,16,11385.278763,11369.637453,-15.641310000000885
1858,1713001858,10,1854.478488,1854.478488,0.0
1859,1713001859,15,9793.887908,9793.887908,0.0
1860,1713001860,11,8052.197458,7096.20151,-955.9959479999998
1861,1713001861,13,8437.769726,8437.769726,0.0
1862,1713001862,10,9546.697164,9856.107829,309.41066500000125
1863,1713001863,13,13623.765928,12235.319473,-1388.4464550000012
1864,1713001864,15,9768.64152,9768.64152,0.0
1865,1713001865,11,10943.824369,10809.774337,-134.0500319999992
1866,1713001866,16,3365.110621,3365.110621,0.0
1867,1713001867,14,9980.839836,9980.839836,0.0
1868,1713001868,15,8202.901872,8785.035144,582.1332719999991
1869,1713001869,12,8778.11643,8778.11643,0.0
1870,1713001870,10,2839.679828,2891.366397,51.68656899999996
1871,1713001871,15,10634.253037,10634.253037,0.0
1872,1713001872,16,6987.212353,8128.630746,1141.418393
1873,1713001873,12,6561.58336,6664.816313,103.23295300000063
1874,1713001874,12,6466.612962,4910.902692,-1555.7102700000005
1875,1713001875,16,14828.842509,14828.842509,0.0
1876,1713001876,11,9797.028343,4099.238584,-5697.789759
1877,1713001877,14,8624.150306,8624.150306,0.0
1878,1713001878,14,4989.272893,9222.811708,4233.538814999999
1879,1713001879,14,8857.958741,8857.958741,0.0
1880,1713001880,10,9999.603805,7541.87356,-2457.7302450000007
1881,1713001881,14,13071.330981,13071.330981,0.0
1882,1713001882,10,4330.933739,9020.807923,4689.874184
1883,1713001883,14,5345.936385,5345.936385,0.0
1884,1713001884,16,7395.088782,9529.544618,2134.455836
