seed,N,baseline_s,candidate_s,delta_s,baseline_per_source_s,candidate_per_source_s
1830002500,16,4719.385879,5018.615192,299.2293129999998,294.9616174375,313.6634495
1830002501,12,10267.486611,10393.456444,125.9698329999992,855.6238842500001,866.1213703333333
1830002502,12,11342.260892,10408.572369,-933.6885230000007,945.1884076666666,867.3810307499999
1830002503,12,9797.585956,9703.918909,-93.66704700000082,816.4654963333334,808.6599090833333
1830002504,10,10895.950057,10895.950057,0.0,1089.5950057,1089.5950057
1830002505,11,9423.690573,9423.690573,0.0,856.6991429999999,856.6991429999999
1830002506,14,8779.752857,8414.228814,-365.52404299999944,627.1252040714286,601.0163438571428
1830002507,15,11612.21199,10384.208327,-1228.0036629999995,774.147466,692.2805551333333
1830002508,12,10744.699552,10567.302634,-177.39691800000037,895.3916293333333,880.6085528333333
1830002509,10,9425.39331,9425.39331,0.0,942.539331,942.539331
1830002510,14,8777.304951,8777.304951,0.0,626.9503536428572,626.9503536428572
1830002511,16,7582.788146,7582.788146,0.0,473.924259125,473.924259125
1830002512,13,9476.702025,9153.550962,-323.15106300000116,728.9770788461539,704.1193047692307
1830002513,13,9547.239992,9104.513855,-442.7261370000015,734.4030763076923,700.3472196153846
1830002514,16,3101.883638,4897.335567,1795.4519290000003,193.867727375,306.0834729375
1830002515,10,10148.950204,9897.237434,-251.7127700000001,1014.8950204,989.7237434000001
1830002516,13,10195.024881,10319.982797,124.9579160000012,784.2326831538461,793.8448305384616
1830002517,10,9532.757155,9496.530995,-36.226160000000164,953.2757154999999,949.6530994999999
1830002518,16,2367.64073,2478.408686,110.76795600000014,147.977545625,154.900542875
1830002519,15,9945.708643,9945.708643,0.0,663.0472428666667,663.0472428666667
1830002520,12,11387.379823,10421.362739,-966.0170839999992,948.9483185833333,868.4468949166667
1830002521,15,8669.630608,8806.030753,136.4001449999996,577.9753738666666,587.0687168666666
1830002522,11,8533.450863,8501.184502,-32.26636099999996,775.7682602727273,772.8349547272727
1830002523,12,13768.691534,14273.279928,504.58839400000033,1147.3909611666666,1189.439994
1830002524,11,9752.755866,9551.041286,-201.71457999999984,886.6141696363636,868.2764805454545
1830002525,15,9439.032864,9439.032864,0.0,629.2688576,629.2688576
1830002526,11,9333.976549,9366.211859,32.23530999999821,848.5433226363638,851.4738053636363
1830002527,13,9771.054033,9775.355881,4.301847999999154,751.619541,751.9504523846153
1830002528,16,8007.189153,8431.465499,424.27634599999965,500.4493220625,526.9665936875
1830002529,16,10806.486484,9723.418294,-1083.06819,675.40540525,607.713643375
1830002530,10,8845.598002,9904.916756,1059.318754,884.5598002,990.4916756
1830002531,14,9873.247712,9873.247712,0.0,705.2319794285714,705.2319794285714
